A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,Class
1,3,23,21,1,47,20,17,27,15,22,26,1,24,46,31,32,27,19,14,8,15,4,30,27,31,6,50,4,28,21,12,27,23,40,1,44,26,49,35,14,10,47,19,22,4,24,16,3,1,42,A
1,3,48,43,27,10,14,16,10,38,14,45,41,34,40,48,34,22,3,28,19,50,40,45,22,9,16,34,45,5,5,5,26,9,12,42,6,22,49,1,40,9,5,33,22,21,12,21,35,41,12,A
1,3,31,5,4,26,27,39,15,45,44,45,26,35,10,22,23,3,20,23,35,31,43,30,23,27,22,29,7,33,15,36,21,17,10,6,5,5,9,16,6,21,36,8,4,46,8,47,15,11,35,A
1,3,42,23,5,3,22,31,1,3,16,12,33,40,24,9,8,46,40,10,6,36,30,15,27,33,6,33,45,26,43,49,17,23,27,40,31,12,4,5,34,7,49,35,24,33,49,38,21,34,20,A
1,3,48,3,30,34,38,36,49,34,48,42,15,40,46,2,15,18,27,46,36,11,13,24,9,34,6,13,39,29,44,36,8,1,43,50,12,30,20,38,17,41,30,30,22,11,33,29,48,20,38,A
1,3,47,44,44,6,50,40,25,15,19,26,10,30,15,1,32,49,38,16,27,48,37,34,43,45,29,26,1,21,38,31,27,50,48,15,10,41,29,48,39,13,29,43,5,46,3,44,6,27,46,A
1,3,21,18,22,2,39,18,35,8,18,20,20,4,41,31,38,39,18,6,42,23,30,29,11,41,39,8,14,30,24,50,2,25,20,38,1,49,45,18,14,11,6,23,24,27,38,24,43,39,4,A
1,3,33,19,20,8,9,13,1,17,38,39,38,39,45,14,32,4,20,43,42,36,41,23,18,36,4,38,23,2,49,36,6,42,27,7,19,39,16,32,15,35,6,31,12,29,42,23,18,2,15,A
1,3,20,31,28,35,4,37,19,8,7,46,9,20,27,22,2,27,44,6,14,10,13,19,27,13,37,19,3,35,41,20,31,34,22,4,46,29,38,32,25,37,43,21,38,29,8,21,1,37,1,A
1,3,29,27,2,14,31,33,39,15,43,6,4,40,29,41,36,20,23,26,29,35,16,45,34,21,3,32,29,48,44,3,34,42,35,5,46,29,42,5,39,45,31,24,35,3,24,29,18,15,7,A
1,3,26,3,1,31,50,26,40,35,1,31,34,5,21,13,39,34,8,24,33,13,37,3,42,9,21,36,7,35,30,31,18,21,39,18,44,41,4,29,16,27,49,47,5,3,3,29,1,46,23,A
1,3,14,11,32,15,33,34,19,32,19,50,46,26,31,45,14,3,8,50,5,27,37,15,5,42,45,5,13,46,14,47,16,21,13,44,16,37,43,5,10,28,49,32,11,13,17,34,26,4,24,A
1,3,44,5,17,39,28,44,34,17,43,10,38,13,10,43,31,39,35,12,8,23,7,6,12,10,33,9,12,3,25,45,50,47,12,44,21,27,20,45,13,49,49,38,39,29,26,37,4,11,48,A
