A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,Class
0.000363798,0.21581485,0.61288455,0.092870478,0.887854833,0.532151051,0.301394349,0.630502643,0.261889488,0.466280653,0.747293398,0.570219944,0.068443901,0.44879235,0.865589294,0.500972293,0.724113892,D
0.460824889,0.790940741,0.443600918,0.582903875,0.055595851,0.246208132,0.146944846,0.780618368,0.125638081,0.281389665,0.398290635,0.107240219,0.538458133,0.14253451,0.350231805,0.462321285,0.97692973,E
0.638098314,0.51154615,0.13211943,0.632147144,0.19890568,0.351586175,0.89074967,0.390970781,0.834901865,0.638203544,0.112295346,0.525871976,0.58664933,0.398906754,0.963325295,0.551505648,0.991680959,B
0.202093118,0.632192961,0.425814332,0.291550659,0.707035867,0.328640523,0.956575768,0.730049529,0.00207115,0.091561348,0.760984694,0.007673417,0.598468748,0.826948936,0.761743678,0.124993405,0.436817229,D
0.945820412,0.274112831,0.409124268,0.227184327,0.246129272,0.706880329,0.8841447,0.740476406,0.654733863,0.299334911,0.776015693,0.4262078,0.727259878,0.254284892,0.397968551,0.034656853,0.36679279,C
0.74843073,0.59248212,0.018548955,0.873771116,0.734742979,0.433067125,0.979570344,0.433131208,0.390967036,0.41000112,0.582171415,0.176948402,0.152595295,0.272767898,0.08657094,0.167254206,0.509928609,D
0.335735727,0.629688315,0.27087221,0.082928026,0.125371239,0.876533962,0.671926624,0.14807256,0.645745003,0.161071954,0.101866375,0.388320216,0.149017993,0.060268701,0.319665188,0.721443297,0.673801136,E
0.309876309,0.131078374,0.662458518,0.668889663,0.333633093,0.31919003,0.095682878,0.391897994,0.782813854,0.774450567,0.919928018,0.409015881,0.467385792,0.142474895,0.208592783,0.0802843,0.532170118,D
0.987526953,0.69801247,0.435831536,0.147154827,0.379638618,0.435482025,0.415380568,0.088200859,0.931266946,0.787273804,0.426290541,0.979771201,0.098373951,0.068148756,0.79000879,0.413414139,0.297787891,C
0.600020228,0.711107215,0.025774889,0.98948729,0.533130509,0.237868964,0.916762019,0.841427703,0.73620082,0.811986449,0.627371615,0.796466518,0.819446188,0.803080672,0.047013639,0.295086073,0.320163085,A
0.536445198,0.808983273,0.190017068,0.396749475,0.882174484,0.808942444,0.762941495,0.798926327,0.601782081,0.843464337,0.076354185,0.452558292,0.694368858,0.153946026,0.441999451,0.899090258,0.581685943,B
0.211681438,0.663542589,0.937601395,0.174661673,0.221562672,0.355796744,0.020002118,0.2389554,0.864792282,0.682719055,0.002262414,0.020343357,0.056358788,0.52316254,0.148298483,0.41981277,0.249183946,E
0.690358836,0.710823702,0.644478819,0.046557437,0.064149,0.189083349,0.052816979,0.280712075,0.445443462,0.757924682,0.806231224,0.806511692,0.78248099,0.853769303,0.34881545,0.776174589,0.985321915,B
0.990335163,0.382409062,0.184819918,0.163977344,0.42383546,0.878225432,0.61929485,0.881190651,0.985483009,0.101710126,0.921105178,0.397343861,0.68226666,0.82304347,0.782200711,0.648643081,0.161433309,A
0.980951964,0.929580958,0.64387485,0.28383422,0.145585914,0.353394826,0.68159553,0.336187889,0.655425656,0.084483562,0.08991966,0.982534062,0.473399587,0.747584042,0.638197027,0.395448916,0.657520464,B
0.368710577,0.339388954,0.987527626,0.627263566,0.239169138,0.823721187,0.573626675,0.348499913,0.407157945,0.560061708,0.457235233,0.197580489,0.135372352,0.222832979,0.017132343,0.832818653,0.635932522,D
0.961140454,0.805139124,0.972985614,0.334436592,0.346953714,0.99512924,0.504498341,0.808962053,0.049169091,0.376838534,0.94354752,0.357275058,0.337365125,0.459724946,0.47599334,0.254262664,0.360480176,B
0.68654389,0.112863697,0.910887638,0.9772385,0.458822197,0.109438875,0.843566622,0.218531635,0.840318884,0.46871361,0.703064053,0.818056428,0.335691758,0.576741896,0.490184846,0.133906492,0.381191623,B
0.488681652,0.279113804,0.979783699,0.549633705,0.720703111,0.085946898,0.803018386,0.074526332,0.623218566,0.02439913,0.173568892,0.861939357,0.557551649,0.270285425,0.699997655,0.962323714,0.769160255,C
0.095710424,0.716575067,0.842148943,0.022063262,0.566254318,0.760461811,0.152242087,0.375102902,0.303354808,0.971871426,0.550392011,0.755206341,0.248741447,0.978376502,0.579498248,0.143489128,0.820160515,C
0.6017393,0.369101341,0.739199998,0.477181222,0.425327258,0.261999638,0.467558712,0.00090153,0.200589219,0.082702174,0.42753925,0.85355868,0.566850255,0.196039909,0.988591153,0.224912109,0.075533227,E
0.152343288,0.214466912,0.023669983,0.05182363,0.126231356,0.575073521,0.074396054,0.960624771,0.239947591,0.199343393,0.968972624,0.764104698,0.247894773,0.899812484,0.694393787,0.538163718,0.291337217,D
0.601909498,0.751083155,0.585921583,0.842735783,0.162035374,0.377923046,0.803422013,0.713179544,0.180876504,0.068419551,0.047490085,0.754966627,0.636236307,0.623173179,0.103216939,0.51042379,0.896999054,C
0.897291503,0.53374398,0.720015376,0.035468032,0.329906377,0.754499463,0.047597568,0.9102945,0.444016547,0.711086404,0.883316447,0.38185902,0.462497041,0.760684902,0.250439829,0.247228911,0.444966975,C
0.680480374,0.402714114,0.123122099,0.589518461,0.69615144,0.960723738,0.526566136,0.234353681,0.790816011,0.131568702,0.87434778,0.421792519,0.993327579,0.096728329,0.83914689,0.785400148,0.498822402,B
0.995810042,0.861115261,0.446702093,0.783893683,0.0856131,0.931318927,0.553082953,0.526921472,0.103358585,0.1690162,0.223348441,0.293392364,0.45456043,0.46909817,0.858080251,0.155875577,0.65368403,C
0.420359289,0.219534558,0.277738634,0.276947189,0.378634266,0.857657332,0.380595161,0.936662625,0.951789312,0.600544017,0.361295818,0.658844587,0.403432202,0.726015725,0.977529627,0.41583137,0.312590888,B
0.448265354,0.969425608,0.121008965,0.397147986,0.695227463,0.601905432,0.196002964,0.457897217,0.877480386,0.329532296,0.709657149,0.901127442,0.605507137,0.742729863,0.411190835,0.719072966,0.102694096,B
0.28537688,0.053552131,0.953086951,0.917239394,0.368059959,0.655276014,0.319764559,0.796645467,0.014477283,0.445866958,0.444822049,0.822846826,0.016276809,0.582874142,0.404876469,0.643583034,0.902964837,C
0.78553713,0.277952345,0.233960137,0.459848525,0.670284309,0.447220946,0.581396848,0.296280298,0.94205699,0.132889699,0.119284098,0.062143965,0.90474081,0.85888948,0.919574298,0.60620948,0.865341148,B
0.370746572,0.986184104,0.918815857,0.160639003,0.175691996,0.567096174,0.686459337,0.440805709,0.845318204,0.349269687,0.559686232,0.158671241,0.097182773,0.088187281,0.836961253,0.563732005,0.760850126,C
0.65364881,0.969314433,0.336155326,0.694600867,0.346185495,0.947408697,0.063289918,0.971370477,0.149466713,0.72926785,0.008905511,0.825407522,0.032650538,0.922166083,0.989929429,0.154853534,0.878504252,B
0.955440224,0.868043253,0.438550536,0.735332693,0.247710951,0.663383002,0.08082569,0.648361528,0.2396352,0.034810681,0.672674289,0.736890718,0.305890531,0.409677216,0.308452073,0.613986533,0.356125009,C
0.689316279,0.267499126,0.329771978,0.735098391,0.155298629,0.208515609,0.2645038,0.19565339,0.160875004,0.279760706,0.603707566,0.902484832,0.457310657,0.013792291,0.5094721,0.452778785,0.528993427,E
0.846306916,0.286799837,0.481285874,0.041642732,0.679875163,0.432555521,0.221870771,0.570698355,0.181752723,0.160136164,0.851332214,0.001909777,0.308971835,0.204404421,0.301805882,0.361497094,0.734495915,E
0.480096988,0.129027451,0.799510938,0.163759404,0.436055919,0.648448037,0.237995761,0.42823974,0.504545939,0.150656061,0.752195865,0.852644741,0.847013469,0.16498917,0.180703367,0.314189809,0.312179393,D
0.778896657,0.308056295,0.829934105,0.165945227,0.317234778,0.312156642,0.726613784,0.773540763,0.475391917,0.123342101,0.527092022,0.865373281,0.76562218,0.160476545,0.90320835,0.843585323,0.982975911,B
0.667811629,0.758703185,0.552362572,0.176698667,0.02471722,0.240715599,0.47966748,0.819699021,0.774525921,0.174744084,0.082127593,0.980924632,0.894968684,0.20624982,0.900670155,0.871839642,0.467095277,B
0.97086802,0.262302127,0.226739302,0.759847446,0.650139417,0.475535517,0.32452069,0.640574112,0.496374546,0.730680934,0.674701483,0.683729489,0.45077006,0.692672172,0.476450036,0.477453809,0.212464845,B
0.124141556,0.098719598,0.666269928,0.898796,0.454086087,0.667756921,0.213552363,0.872172734,0.345110265,0.014223153,0.600725278,0.885954264,0.041943233,0.226548268,0.189470879,0.075943881,0.197463394,E
0.196017533,0.916539275,0.815938874,0.979378407,0.781188945,0.498517649,0.495175451,0.716616406,0.817594951,0.542359568,0.981185283,0.06631408,0.422977825,0.584618231,0.799337432,0.368686108,0.899763638,A
0.206676435,0.163145126,0.463271151,0.342652401,0.193015449,0.045195142,0.228307469,0.329923936,0.043373267,0.459622657,0.662405312,0.008523333,0.198933262,0.447105682,0.748668688,0.28556356,0.334212493,E
0.423543927,0.99283508,0.717463258,0.875293275,0.340145261,0.626165607,0.030905739,0.116403682,0.578010421,0.349812254,0.203299505,0.502553311,0.513727885,0.801381784,0.724693148,0.852987974,0.892518197,B
0.812192616,0.189940809,0.717004075,0.945008551,0.045063181,0.173860409,0.645097893,0.949136447,0.7214223,0.606239249,0.914446743,0.659832786,0.279027965,0.33563166,0.578743525,0.211662355,0.124091613,C
0.160559906,0.812455361,0.519918774,0.84500444,0.391124434,0.851826165,0.861980549,0.192345599,0.646760119,0.712605311,0.035463499,0.564849886,0.079154966,0.565587336,0.13209714,0.224932688,0.365446387,D
0.897940331,0.32176779,0.454858699,0.920055985,0.194182424,0.550599243,0.45582302,0.575567854,0.571753875,0.859311139,0.366344734,0.811654001,0.174077531,0.722073634,0.887285796,0.084187418,0.149887457,C
0.064213496,0.123386343,0.655379473,0.249269994,0.864307753,0.394003364,0.81551367,0.853687915,0.238043916,0.973231206,0.806187406,0.365347199,0.435003798,0.867880247,0.71053679,0.52967308,0.11689516,B
0.756896578,0.780350237,0.130998031,0.225348854,0.080353603,0.386887269,0.605654186,0.752781316,0.43774427,0.684373585,0.12823749,0.379607351,0.314651079,0.429728394,0.183680369,0.561924332,0.402403141,D
0.383694601,0.90184409,0.635423685,0.077896762,0.121187483,0.518390517,0.464905897,0.024958427,0.793275612,0.363091444,0.303017502,0.783428009,0.597567619,0.363242165,0.792078333,0.631972943,0.569790056,C
0.33864927,0.34739496,0.939475201,0.693235699,0.347803688,0.465284955,0.492190092,0.162531519,0.824168597,0.367861933,0.302360999,0.188359348,0.604002482,0.722042691,0.208015448,0.407459484,0.025500119,D
0.438111866,0.517419194,0.110419784,0.652806688,0.378080291,0.445979277,0.223965862,0.802666629,0.971704608,0.209590799,0.328862328,0.932053272,0.974962813,0.695540037,0.391034572,0.960754097,0.220634084,B
0.787668353,0.289342335,0.768732102,0.788336962,0.331540902,0.258408239,0.24545648,0.339775868,0.700749091,0.025312749,0.650992566,0.315970704,0.379902993,0.54044695,0.810059861,0.724037646,0.77226565,C
0.557652894,0.350154602,0.845348804,0.858103976,0.129419562,0.366486211,0.615660398,0.286896469,0.799799346,0.426666736,0.507715474,0.528894418,0.300885222,0.880564405,0.646486083,0.552031523,0.011318951,C
0.109470867,0.17487664,0.585107806,0.392294208,0.669825965,0.477495516,0.807949824,0.916136449,0.413224123,0.745298964,0.374713628,0.691629045,0.85463224,0.587642323,0.447057794,0.87803322,0.374293295,B
0.414139887,0.748722014,0.345183649,0.712577357,0.770247583,0.089653418,0.172051246,0.490693098,0.546802319,0.701113151,0.1392022,0.754189182,0.997340378,0.233905409,0.553454179,0.816084793,0.998747193,B
0.891378588,0.368658574,0.623043521,0.338498124,0.983002626,0.57284775,0.80459569,0.981728093,0.239339436,0.38248139,0.477384015,0.160591485,0.766366875,0.652218128,0.372983194,0.961306031,0.61733731,A
